77 vocabcat records written
14760, vrb, oov, perempuan
14760, vrb, oov, dia
14760, vrb, oov, kita
14760, vrb, oov, mereka
14760, vrb, oov, saya
14760, vrb, oov, Anda
14760, vrb, oov, abang
14760, vrb, oov, adik
14760, vrb, oov, anak
14760, vrb, oov, anak laki-laki
14760, vrb, oov, anak perempuan
14760, vrb, oov, ayah
14760, vrb, oov, bapak
14760, vrb, oov, ibu
14760, vrb, oov, kakak
14760, vrb, oov, pacar
14760, vrb, oov, ahli bedah
14760, vrb, oov, akuntan
14760, vrb, oov, arsitek
14760, vrb, oov, asisten penjualan
14760, vrb, oov, dokter
14760, vrb, oov, dokter gigi
14760, vrb, oov, dokter hewan
14760, vrb, oov, guru
14760, vrb, oov, guru
14760, vrb, oov, hakim
14760, vrb, oov, kasir
14760, vrb, oov, koki
14760, vrb, oov, makelar
14760, vrb, oov, montir
14760, vrb, oov, pelayan
14760, vrb, oov, pemadam kebakaran
14760, vrb, oov, pembantu
14760, vrb, oov, pemotret
14760, vrb, oov, peneliti
14760, vrb, oov, pengacara
14760, vrb, oov, penjahit
14760, vrb, oov, penjual ikan
14760, vrb, oov, perawat
14760, vrb, oov, perias rambut
14760, vrb, oov, polisi
14760, vrb, oov, pramugari
14760, vrb, oov, resepsionis
14760, vrb, oov, sekretaris
14760, vrb, oov, teknisi komputer
14760, vrb, oov, tukang
14760, vrb, oov, tukang bangunan
14760, vrb, oov, tukang cat
14760, vrb, oov, tukang daging
14760, vrb, oov, tukang kayu
14760, vrb, oov, tukang las
14760, vrb, oov, tukang optic
14760, vrb, oov, tukang pangkas
14760, vrb, oov, tukang pipa
14760, vrb, oov, tukang pos
14760, vrb, oov, tukang roti
14760, vrb, oov, tukang sapu
14760, vrb, oov, wartawan
14760, vrb, oov, murid
14760, vrb, oov, pelayan
14760, vrb, oov, pembantu
14760, vrb, oov, polisi
14760, vrb, oov, supir
14760, vrb, oov, tukang
14760, vrb, oov, Gede
14760, vrb, oov, Kadek
14760, vrb, oov, Ketut
14760, vrb, oov, Komang
14760, vrb, oov, Made
14760, vrb, oov, Mang
14760, vrb, oov, Nengah
14760, vrb, oov, Ni Luh
14760, vrb, oov, Nyoman
14760, vrb, oov, Putu
14760, vrb, oov, Tut
14760, vrb, oov, Wayan
14760, vrb, oov, anjing
14760, vrb, oov, kucing
14760, vrb, oov, kuda
14760, vrb, oov, harap
14760, vrb, oov, berharap
14760, vrb, oov, kasih
14760, vrb, oov, ketakutan
14760, vrb, oov, harap
14760, vrb, oov, murung
14760, vrb, oov, cemas
14760, vrb, oov, damai
15018, vrb, oov, air
15018, vrb, oov, anjing
15018, vrb, oov, arti
15018, vrb, oov, batu
15018, vrb, oov, bensin
15018, vrb, oov, bom
15018, vrb, oov, cat
15018, vrb, oov, cek
15018, vrb, oov, cermin
15018, vrb, oov, daging
15018, vrb, oov, dompet
15018, vrb, oov, gamelan
15018, vrb, oov, gelas
15018, vrb, oov, gunting
15018, vrb, oov, hewan
15018, vrb, oov, jam
15018, vrb, oov, jawab
15018, vrb, oov, jualan
15018, vrb, oov, kaca
15018, vrb, oov, kah
15018, vrb, oov, kain
15018, vrb, oov, kalendar
15018, vrb, oov, kayu
15018, vrb, oov, kentang
15018, vrb, oov, keranjang
15018, vrb, oov, kertas
15018, vrb, oov, komputer
15018, vrb, oov, kopi
15018, vrb, oov, kotak
15018, vrb, oov, kucing
15018, vrb, oov, kuda
15018, vrb, oov, kunci
15018, vrb, oov, kursi
15018, vrb, oov, lampu
15018, vrb, oov, mangga
15018, vrb, oov, masakan
15018, vrb, oov, meja
15018, vrb, oov, mobil
15018, vrb, oov, motor
15018, vrb, oov, nyewa
15018, vrb, oov, papan
15018, vrb, oov, pel
15018, vrb, oov, pensil
15018, vrb, oov, penumpang
15018, vrb, oov, pipa
15018, vrb, oov, pisau
15018, vrb, oov, pos
15018, vrb, oov, roti
15018, vrb, oov, sabun
15018, vrb, oov, sapu
15018, vrb, oov, sepeda
15018, vrb, oov, susu
15018, vrb, oov, taksi
15018, vrb, oov, tas
15018, vrb, oov, uang
14794, vrb, oov, air
14794, vrb, oov, anjing
14794, vrb, oov, arti
14794, vrb, oov, batu
14794, vrb, oov, bensin
14794, vrb, oov, bom
14794, vrb, oov, cat
14794, vrb, oov, cek
14794, vrb, oov, cermin
14794, vrb, oov, daging
14794, vrb, oov, dompet
14794, vrb, oov, gamelan
14794, vrb, oov, gelas
14794, vrb, oov, gunting
14794, vrb, oov, hewan
14794, vrb, oov, jam
14794, vrb, oov, jawab
14794, vrb, oov, jualan
14794, vrb, oov, kaca
14794, vrb, oov, kah
14794, vrb, oov, kain
14794, vrb, oov, kalendar
14794, vrb, oov, kayu
14794, vrb, oov, kentang
14794, vrb, oov, keranjang
14794, vrb, oov, kertas
14794, vrb, oov, komputer
14794, vrb, oov, kopi
14794, vrb, oov, kotak
14794, vrb, oov, kucing
14794, vrb, oov, kuda
14794, vrb, oov, kunci
14794, vrb, oov, kursi
14794, vrb, oov, lampu
14794, vrb, oov, mangga
14794, vrb, oov, masakan
14794, vrb, oov, meja
14794, vrb, oov, mobil
14794, vrb, oov, motor
14794, vrb, oov, nyewa
14794, vrb, oov, papan
14794, vrb, oov, pel
14794, vrb, oov, pensil
14794, vrb, oov, penumpang
14794, vrb, oov, pipa
14794, vrb, oov, pisau
14794, vrb, oov, pos
14794, vrb, oov, roti
14794, vrb, oov, sabun
14794, vrb, oov, sapu
14794, vrb, oov, sepeda
14794, vrb, oov, susu
14794, vrb, oov, taksi
14794, vrb, oov, tas
14794, vrb, oov, uang
14985, vrb, oov, laki-laki
14985, vrb, oov, perempuan
14985, vrb, oov, dia
14985, vrb, oov, kita
14985, vrb, oov, mereka
14985, vrb, oov, saya
14985, vrb, oov, Anda
14985, vrb, oov, abang
14985, vrb, oov, adik
14985, vrb, oov, anak
14985, vrb, oov, anak laki-laki
14985, vrb, oov, anak perempuan
14985, vrb, oov, ayah
14985, vrb, oov, bapak
14985, vrb, oov, ibu
14985, vrb, oov, kakak
14985, vrb, oov, pacar
14985, vrb, oov, ahli bedah
14985, vrb, oov, akuntan
14985, vrb, oov, arsitek
14985, vrb, oov, asisten penjualan
14985, vrb, oov, dokter
14985, vrb, oov, dokter gigi
14985, vrb, oov, dokter hewan
14985, vrb, oov, guru
14985, vrb, oov, guru
14985, vrb, oov, hakim
14985, vrb, oov, kasir
14985, vrb, oov, koki
14985, vrb, oov, makelar
14985, vrb, oov, montir
14985, vrb, oov, pelayan
14985, vrb, oov, pemadam kebakaran
14985, vrb, oov, pembantu
14985, vrb, oov, pemotret
14985, vrb, oov, peneliti
14985, vrb, oov, pengacara
14985, vrb, oov, penjahit
14985, vrb, oov, penjual ikan
14985, vrb, oov, perawat
14985, vrb, oov, perias rambut
14985, vrb, oov, polisi
14985, vrb, oov, pramugari
14985, vrb, oov, resepsionis
14985, vrb, oov, sekretaris
14985, vrb, oov, teknisi komputer
14985, vrb, oov, tukang
14985, vrb, oov, tukang bangunan
14985, vrb, oov, tukang cat
14985, vrb, oov, tukang daging
14985, vrb, oov, tukang kayu
14985, vrb, oov, tukang las
14985, vrb, oov, tukang optic
14985, vrb, oov, tukang pangkas
14985, vrb, oov, tukang pipa
14985, vrb, oov, tukang pos
14985, vrb, oov, tukang roti
14985, vrb, oov, tukang sapu
14985, vrb, oov, wartawan
14985, vrb, oov, murid
14985, vrb, oov, pelayan
14985, vrb, oov, pembantu
14985, vrb, oov, polisi
14985, vrb, oov, supir
14985, vrb, oov, tukang
14985, vrb, oov, Gede
14985, vrb, oov, Kadek
14985, vrb, oov, Ketut
14985, vrb, oov, Komang
14985, vrb, oov, Made
14985, vrb, oov, Mang
14985, vrb, oov, Nengah
14985, vrb, oov, Ni Luh
14985, vrb, oov, Nyoman
14985, vrb, oov, Putu
14985, vrb, oov, Tut
14985, vrb, oov, Wayan
14985, vrb, oov, nota
14985, vrb, oov, biaya
14761, vrb, oov, buku
15021, vrb, oov, air
15021, vrb, oov, anjing
15021, vrb, oov, arti
15021, vrb, oov, batu
15021, vrb, oov, bensin
15021, vrb, oov, bom
15021, vrb, oov, cat
15021, vrb, oov, cek
15021, vrb, oov, cermin
15021, vrb, oov, daging
15021, vrb, oov, dompet
15021, vrb, oov, gamelan
15021, vrb, oov, gelas
15021, vrb, oov, gunting
15021, vrb, oov, hewan
15021, vrb, oov, jam
15021, vrb, oov, jawab
15021, vrb, oov, jualan
15021, vrb, oov, kaca
15021, vrb, oov, kah
15021, vrb, oov, kain
15021, vrb, oov, kalendar
15021, vrb, oov, kayu
15021, vrb, oov, kentang
15021, vrb, oov, keranjang
15021, vrb, oov, kertas
15021, vrb, oov, komputer
15021, vrb, oov, kopi
15021, vrb, oov, kotak
15021, vrb, oov, kucing
15021, vrb, oov, kuda
15021, vrb, oov, kunci
15021, vrb, oov, kursi
15021, vrb, oov, lampu
15021, vrb, oov, mangga
15021, vrb, oov, masakan
15021, vrb, oov, meja
15021, vrb, oov, mobil
15021, vrb, oov, motor
15021, vrb, oov, nyewa
15021, vrb, oov, papan
15021, vrb, oov, pel
15021, vrb, oov, pensil
15021, vrb, oov, penumpang
15021, vrb, oov, pipa
15021, vrb, oov, pisau
15021, vrb, oov, pos
15021, vrb, oov, roti
15021, vrb, oov, sabun
15021, vrb, oov, sapu
15021, vrb, oov, sepeda
15021, vrb, oov, susu
15021, vrb, oov, taksi
15021, vrb, oov, tas
15021, vrb, oov, uang
15021, vrb, oov, anjing
15021, vrb, oov, kucing
15021, vrb, oov, kuda
14796, vrb, oov, air
14796, vrb, oov, anjing
14796, vrb, oov, arti
14796, vrb, oov, batu
14796, vrb, oov, bensin
14796, vrb, oov, bom
14796, vrb, oov, cat
14796, vrb, oov, cek
14796, vrb, oov, cermin
14796, vrb, oov, daging
14796, vrb, oov, dompet
14796, vrb, oov, gamelan
14796, vrb, oov, gelas
14796, vrb, oov, gunting
14796, vrb, oov, hewan
14796, vrb, oov, jam
14796, vrb, oov, jawab
14796, vrb, oov, jualan
14796, vrb, oov, kaca
14796, vrb, oov, kah
14796, vrb, oov, kain
14796, vrb, oov, kalendar
14796, vrb, oov, kayu
14796, vrb, oov, kentang
14796, vrb, oov, keranjang
14796, vrb, oov, kertas
14796, vrb, oov, komputer
14796, vrb, oov, kopi
14796, vrb, oov, kotak
14796, vrb, oov, kucing
14796, vrb, oov, kuda
14796, vrb, oov, kunci
14796, vrb, oov, kursi
14796, vrb, oov, lampu
14796, vrb, oov, mangga
14796, vrb, oov, masakan
14796, vrb, oov, meja
14796, vrb, oov, mobil
14796, vrb, oov, motor
14796, vrb, oov, nyewa
14796, vrb, oov, papan
14796, vrb, oov, pel
14796, vrb, oov, pensil
14796, vrb, oov, penumpang
14796, vrb, oov, pipa
14796, vrb, oov, pisau
14796, vrb, oov, pos
14796, vrb, oov, roti
14796, vrb, oov, sabun
14796, vrb, oov, sapu
14796, vrb, oov, sepeda
14796, vrb, oov, susu
14796, vrb, oov, taksi
14796, vrb, oov, tas
14796, vrb, oov, uang
14796, vrb, oov, anjing
14796, vrb, oov, kucing
14796, vrb, oov, kuda
15017, vrb, oov, air
15017, vrb, oov, anjing
15017, vrb, oov, arti
15017, vrb, oov, batu
15017, vrb, oov, bensin
15017, vrb, oov, bom
15017, vrb, oov, cat
15017, vrb, oov, cek
15017, vrb, oov, cermin
15017, vrb, oov, daging
15017, vrb, oov, dompet
15017, vrb, oov, gamelan
15017, vrb, oov, gelas
15017, vrb, oov, gunting
15017, vrb, oov, hewan
15017, vrb, oov, jam
15017, vrb, oov, jawab
15017, vrb, oov, jualan
15017, vrb, oov, kaca
15017, vrb, oov, kah
15017, vrb, oov, kain
15017, vrb, oov, kalendar
15017, vrb, oov, kayu
15017, vrb, oov, kentang
15017, vrb, oov, keranjang
15017, vrb, oov, kertas
15017, vrb, oov, komputer
15017, vrb, oov, kopi
15017, vrb, oov, kotak
15017, vrb, oov, kucing
15017, vrb, oov, kuda
15017, vrb, oov, kunci
15017, vrb, oov, kursi
15017, vrb, oov, lampu
15017, vrb, oov, mangga
15017, vrb, oov, masakan
15017, vrb, oov, meja
15017, vrb, oov, mobil
15017, vrb, oov, motor
15017, vrb, oov, nyewa
15017, vrb, oov, papan
15017, vrb, oov, pel
15017, vrb, oov, pensil
15017, vrb, oov, penumpang
15017, vrb, oov, pipa
15017, vrb, oov, pisau
15017, vrb, oov, pos
15017, vrb, oov, roti
15017, vrb, oov, sabun
15017, vrb, oov, sapu
15017, vrb, oov, sepeda
