monumen	monument
muda	young, unripe
mulai	to begin
mulut	mouth
mungkin	may be, possible
marah	cheap
museum	museum
musik	music
musim	season
mutiara	pearl
mutu	quality
naik	ascend, come up, go up
nama	name
nanti	later
negara	nation, state
negeri	country
ngantuk	tired, sleepy
nomor	number
nona	miss
November	November
nyonya	madam
obat	medicine
objek	object
Oktober	October
olahraga	sport
ongkos	price, cost
orang	person
pagi	morning
paham	to understand
pak	sir, mister
pakai	to use
paling	the  most
panas	warm, hot
pancing	fish hook
panggil	to call
panggung	stage
panjang	long
pantai	beach
panti	recidence, institution
pasang	couple, pair
pasar	market
pasport	passport
pasti	sure
patung	statute
pedas	hot, spicy
pegang	to hold
pegunungan	mountainous
pemahaman	understanding
pemakaman	burial
pemandangan	landscape
pemandu	guide
pemerintah	government
pemilihan	election
pemilik	owner
penari	dancer
penciuman	sense of smell
pendeta	priest
penerangan	lighting
penerjemah	translator
pengemudi	driver
penghujan	rainy season
penglihatan	view
penumpang	passenger
perahu	boat
Perancis	French
percakapan	conversation
pergi	to go
periksa	to examine, to check
perjalanan	trip
perkebunan	plantation, farm
perlahan	slow, slowly
perlu	need, important
pernah	ever
pertama	first
pertukaran	exchange
pesan	order
pesawat	plane
pesta	party
petani	farmer
pijat	massage
pilih	to choose
pintu	door
pola	motive
pramugari	stewardess
president	president
puas	satisfied
pulang	to come back
pulau	island
puluh	ten
pun	also, although
punah	destroyed, vanish
puncak	top
punya	to have
putih	white
Rabu	Wednesday
rakyat	people
ramai	crowded
rambu	fringe
rambutan	rambutan fruit
rapi	steady, clean
rata-rata	average
reda	get calm, ease up
rencana	project, planning
resep	prescription
restorant	restaurant
rokok	cigarette
ruang	room
saat	moment, time
Sabtu	Saturday
sabun	soap
saja	only
sakit	sick, ill
sama	the same
sampai	till
sana	there
sangat	very
sapi	cow
sate	sate
satu	one, a
saudara	brother, you
saya	I, me
sebab	because
sebelah	side
sebelas	eleven
sebelum	before
sebenarnya	fact
sedang	at this moment, still
sedih	sad
sedikit	a little
segar	fresh
segera	soon
sehari	a day
sejuk	fresh
sejuta	a million
sekali	once
sekarang	now
sekitar	about, around
sekolah	school
selama	during
selamat	safe, good
selanjutnya	and then, next
Selasa	Tuesday
selesai	finish
seluruhnya	whole, all
sembilan	nine
sembilan belas	nineteen
semenjak	since
seminggu	a week
semua	all
senang	happy
sendiri	alone, only
sendirian	alone
sengaja	on purpose
Senin	Monday
seorang	a person
sepatu	shoes
seperti	like
September	September
sepuluh	ten
seratus	a hundred
seribu	a thousand
sering	often
setasiun	station
setalah	after
setengah	half
setuju	agree
sewa	rent, lease
siang	daytime
siap	ready
siapa	who
silakan	please
singkatan	abbreviation
sini	here
situ	there
sore	afternoon
stupa	stupa
suasana	mood
suatu	a, an
sudah	already
suka	like
sulit	difficult
sungguh	real, true
suruh	to ask
tadi	just now
tahu	understand, know
tahun	year
tajam	sharp
tak	no, not
tampak	seem, seen
tamu	guest
tanah	land
tanda	sign
tangan	arm
tanggal	date
tapi	but
tari	dance
tarif	price, rate, tariff
tas	bag
tebal	thick
teh	tea
telah	already
telepon	telephone
teman	friend
tempat	place
temperatur	temperature
tempuh	across, to reach
tengah	middle
tenggara	south-east
tentu	certainly, of course
terbang	fly
terbesar	biggest
terbit	rise
terbuat	made of, made from
terdekat	nearest
terhebat	greatest
terhitung	counted
terima	accept, receive
terima kasih	thank you
terjadi	done, happened
terjatuh	fell down
terkanal	popular, well known
terlalu	too much
terlambat	late
terlihat	seen, visible
termasuk	included
ternyata	in fact
terowongan	tunnel
terpandang	respected, well known
tersisa	left, remaining
tertawa	laugh
tertentu	certain
tertinggi	highest
tertulis	written
terus	to continue
terutama	mainly, especially
tetap	constant
tetapi	but
tidak	no, not
tidur	to sleep
tigabelas	thirteen
